experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
init_lstm_layers1_hidden4_scratch_greedy_maxlen20,init_lstm_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,31.562295250001625,0.03156229525000163
init_lstm_layers1_hidden4_scratch_greedy_maxlen38,init_lstm_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,62.874924874999124,0.06287492487499913
init_lstm_layers2_hidden2_keras_greedy_maxlen10,init_lstm_layers2_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,4.923690249999709,0.004923690249999709
init_lstm_layers2_hidden2_keras_greedy_maxlen38,init_lstm_layers2_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,17.4046143329997,0.0174046143329997
init_lstm_layers2_hidden2_scratch_greedy_maxlen10,init_lstm_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,15.982417082999746,0.015982417082999745
init_lstm_layers2_hidden2_scratch_greedy_maxlen20,init_lstm_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,30.644853124998917,0.030644853124998917
init_lstm_layers2_hidden2_scratch_greedy_maxlen38,init_lstm_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,58.470895124999515,0.05847089512499951
init_lstm_layers2_hidden4_keras_greedy_maxlen10,init_lstm_layers2_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,4.850774832999377,0.004850774832999377
init_lstm_layers2_hidden4_keras_greedy_maxlen38,init_lstm_layers2_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,17.69269437500043,0.01769269437500043
init_lstm_layers2_hidden4_scratch_greedy_maxlen10,init_lstm_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,15.645388791999721,0.015645388791999722
init_lstm_layers2_hidden4_scratch_greedy_maxlen20,init_lstm_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,30.713568957999087,0.030713568957999086
init_lstm_layers2_hidden4_scratch_greedy_maxlen38,init_lstm_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,58.12661266700161,0.05812661266700161
init_lstm_layers3_hidden2_keras_greedy_maxlen10,init_lstm_layers3_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,5.031864584001596,0.005031864584001596
init_lstm_layers3_hidden2_keras_greedy_maxlen38,init_lstm_layers3_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,18.130154499998753,0.018130154499998753
init_lstm_layers3_hidden2_scratch_greedy_maxlen10,init_lstm_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,17.11883837499954,0.017118838374999543
init_lstm_layers3_hidden2_scratch_greedy_maxlen20,init_lstm_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,34.516697166000085,0.03451669716600009
init_lstm_layers3_hidden2_scratch_greedy_maxlen38,init_lstm_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,51.82509158299945,0.05182509158299945
